;Class;Source;Target;Total;Lines;Statements;X..Statements;Calls;X..Comments;Classes;Methods.Class;Avg.Stmts.Method;Max.Complexity;Max.Depth;Avg.Depth;Avg.Complexity;pmdAll;pmdCoupling;pmdDesign;pmdCodeSize;pmdPriority;findbugsAll;findbugsStyle;findbugsBad;findbugsScary;ncloc;complexity;class_complexity;comment_lines;comment_lines_density;public_undocumented_api;duplicated_lines;violations;code_smells;sqale_index;sqale_debt_ratio;bugs;vulnerabilities;statements;public_api;functions;WMC;DIT;NOC;CBO;RFC;LCOM;Ca;NPM;Commits;Creation
301;Packed32;4;0;4;227;90;12.2;16;38.3;1;10;3.5;3;5;2.2;1.3;52;0;0;0;1;1;1;0;1;132;22;22;69;34.3;3;14;8;8;50;1.3;0;0;59;4;10;11;0;0;4;21;0;1;8;4;1296400215
302;Packed64;3;0;3;217;85;10.6;14;40.1;1;10;3;2;5;2.18;1.1;50;0;0;0;1;0;0;0;0;121;19;19;69;36.3;3;14;8;8;50;1.4;0;0;54;4;10;11;0;0;4;19;0;1;8;4;1296400215
303;PackedInts;13;0;13;301;117;29.1;31;42.2;6;3.83;3.09;9;5;2.35;2.63;74;0;1;0;6;0;0;0;0;144;57;9.5;90;38.5;5;0;13;13;91;2.1;0;0;55;29;25;10;1;0;16;35;39;7;9;5;1296426876
304;PackedReaderIterator;9;0;9;111;63;11.1;8;18.9;1;7;6.43;4;4;2;2;29;0;0;0;1;0;0;0;0;77;11;11;17;18.1;5;0;2;2;6;0.3;0;0;43;5;6;8;1;0;2;15;0;1;7;2;1284810631
305;PackedWriter;5;0;5;114;40;17.5;8;34.2;1;4;7;5;4;2.08;2.75;24;0;0;0;1;0;0;0;0;56;9;9;31;35.6;0;0;7;7;26;1.5;0;0;26;0;4;5;0;0;3;16;0;1;4;2;1296400215
306;PagedBytes;4;0;4;343;188;17.6;40;23.9;2;7.5;10.07;6;5;2.85;3.33;73;2;0;0;5;2;0;0;2;231;43;21.5;63;21.4;4;46;15;12;95;1.4;3;0;145;15;13;13;1;0;3;28;0;5;7;9;1290782170
307;PairOutputs;4;0;4;118;49;10.2;26;16.9;2;4.5;2.67;5;4;1.9;1.78;51;0;0;0;2;0;0;0;0;78;21;10.5;14;15.2;6;0;4;4;9;0.4;0;0;26;7;11;16;0;0;4;26;60;1;16;2;1296400215
308;ParallelPostingsArray;0;0;0;58;27;0;11;27.6;1;5;2.6;1;2;1.33;1;33;0;0;0;0;0;0;0;0;33;5;5;12;26.7;0;0;2;2;7;0.7;0;0;13;0;5;5;1;2;1;8;6;8;0;4;1292065621
309;ParallelReader;0;0;0;571;274;20.1;148;18.6;3;13.67;4.95;15;7;2.31;2.37;263;31;15;5;23;1;0;1;1;397;109;36.3;86;17.8;1;0;30;28;218;1.8;1;1;210;6;40;36;0;0;20;112;268;2;28;52;1296080277
310;ParseException;0;0;0;198;91;37.4;32;36.4;1;5;15.8;15;6;3.13;5.8;77;18;7;5;2;3;0;0;3;113;27;27;50;30.7;0;42;34;34;515;15.2;0;0;68;8;5;5;3;0;1;22;0;3;4;66;1285686672
