;Class;Source;Target;Total;Lines;Statements;X..Branches;Calls;X..Comments;Classes;Methods.Class;Avg.Stmts.Method;Max.Complexity;Max.Depth;Avg.Depth;Avg.Complexity;pmdAll;pmdCoupling;pmdDesign;pmdCodeSize;pmdPriority;findbugsAll;findbugsStyle;findbugsBad;findbugsScary;WMC;DIT;NOC;CBO;RFC;LCOM;Ca;NPM;ncloc;complexity;class_complexity;comment_lines;comment_lines_density;public_undocumented_api;duplicated_lines;violations;code_smells;sqale_index;sqale_debt_ratio;bugs;vulnerabilities;statements;public_api;functions;Commits;Creation
544;PropertyFile;0;0;0;666;257;19.8;102;37.8;5;5.4;6.37;17;6;2.89;3.42;180;17;9;7;39;2;0;1;2;10;0;0;5;41;21;0;5;344;91;18.2;167;32.7;0;43;17;16;170;1.6;0;1;155;13;19;55;1163873265
545;PropertyFileInputHandler;0;0;0;91;27;18.5;16;42.9;1;3;5.33;4;4;1.85;2.67;12;1;2;0;0;2;0;1;2;3;1;0;3;19;0;1;2;41;12;12;10;19.6;0;0;2;2;10;0.8;0;0;15;2;3;17;1157136567
546;PropertyHelper;0;0;0;999;246;18.3;154;55.3;7;6.43;3.56;10;5;2.2;2.04;0;0;0;0;0;4;0;0;4;41;1;0;12;98;666;10;33;369;108;27;385;51.1;0;0;57;57;567;5.1;0;0;171;36;39;44;1190634994
547;PropertyHelperTask;0;0;0;145;57;17.5;24;35.9;2;4.5;3.78;9;5;2.02;2.22;31;6;6;0;3;1;0;0;1;6;0;0;6;23;11;1;5;80;22;11;19;19.2;0;0;3;3;16;0.7;0;0;33;6;7;5;1186942859
548;PropertyOutputStream;0;0;0;69;17;5.9;5;55.1;1;3;2.33;4;3;1.29;2;20;0;0;0;0;1;0;0;1;3;3;0;1;8;1;2;3;22;6;6;13;37.1;0;0;2;2;10;1.5;0;0;7;4;3;3;1157136567
549;PropertyResource;0;0;0;148;41;12.2;39;46.6;2;4.5;1.89;2;3;1.29;1.44;25;8;1;0;0;2;0;0;2;10;0;0;5;32;41;1;9;63;25;25;31;33;0;0;4;3;15;0.8;1;0;23;9;9;8;1163371394
550;PropertySet;0;0;0;506;210;16.7;157;36;3;10.67;4.5;16;6;2.27;2.23;211;61;8;8;11;0;0;0;0;24;0;0;13;96;246;9;20;281;81;27;96;25.5;0;0;20;20;251;3;0;0;141;28;30;33;1163371394
551;Provider;0;0;0;63;14;14.3;5;55.6;1;3;2;3;3;1.29;1.67;5;0;0;0;0;0;0;0;0;4;0;0;3;8;0;1;4;23;5;5;10;30.3;0;0;1;1;5;0.7;0;0;6;2;1;4;1162767097
552;ProxyDiagnostics;0;0;0;108;50;14;28;36.1;1;3;10.67;7;6;2.5;3.33;26;9;1;0;0;0;0;0;0;3;1;0;1;23;1;0;3;59;9;9;14;19.2;0;0;5;5;45;2.5;0;0;29;4;3;5;1179416532
553;ProxySetup;0;21;21;116;38;10.5;7;52.6;1;3;5;5;4;1.71;2.67;15;0;2;0;0;0;0;0;0;3;1;0;1;13;1;1;3;46;10;10;32;41;0;0;5;3;25;1.8;0;2;13;4;3;7;1184693047
