;Class;findbugsScary;findbugsBadPractice;findbugsStyle;findbugsAll;pmdPriority;pmdCodeSize;pmdDesign;pmdCoupling;pmdAll;WMC;DIT;NOC;CBO;RFC;LCOM;Ca;NPM;Lines;Statements;X..Branches;Calls;X..Comments;Classes;Methods.Class;Avg.Stmts.Method;Max.Complexity;Max.Depth;Avg.Depth;Avg.Complexity;ID;ncloc;complexity;class_complexity;comment_lines;comment_lines_density;public_undocumented_api;duplicated_lines;violations;code_smells;sqale_index;sqale_debt_ratio;bugs;vulnerabilities;statements;public_api;functions;Commits;CreationTime;Source;Target;Total
79;BibLatexEntryType;0;1;0;1;0;0;0;5;28;11;1;34;2;26;43;38;7;100;34;5.9;21;33;1;9;1.78;2;3;1.32;1.22;686;51;13;13;1;1.9;1;0;1;1;5;0.3;0;0;17;2;9;10;1447759352;0;0;0
80;BibLatexEntryTypes;0;0;0;1;0;3;25;35;285;4;1;0;37;46;4;14;2;874;283;0;126;4.2;35;2.49;1;1;3;2.16;1;687;648;65;65;18;2.7;1;114;111;111;3107;16;0;0;134;2;1;31;1364106558;0;0;0
81;BiblioscapeImporter;0;0;1;2;9;17;1;64;124;6;0;0;3;41;15;5;6;297;167;38.9;219;13.5;1;5;30;73;6;4.41;15.4;382;242;81;81;23;8.7;0;70;17;16;305;4.2;1;0;154;1;5;46;1364106558;0;0;0
82;BibsonomyScraper;0;0;0;0;1;0;1;14;34;3;1;0;7;23;1;1;1;72;33;12.1;24;34.7;1;1;16;6;4;1.55;6;356;38;9;9;6;13.6;0;0;2;2;35;3.1;0;0;13;1;1;28;1364106558;0;0;0
83;BibtexCaseChanger;0;0;0;1;33;16;4;18;162;10;1;0;3;38;19;4;2;320;156;38.5;71;25.3;2;5;13.5;17;6;3.2;7.3;1;208;79;39.5;50;19.4;3;20;11;11;184;2.9;0;0;125;6;11;25;1364106558;0;0;0
84;BibTeXConverter;0;0;0;1;1;6;1;8;38;5;1;0;5;39;10;1;2;112;71;16.9;57;5.4;1;4;13.75;11;4;1.85;4.25;595;87;18;18;6;6.5;2;0;6;6;48;1.8;0;0;55;2;4;1;1464948628;0;0;0
85;BibtexEntryType;0;1;0;1;0;0;0;5;24;11;1;19;2;25;43;19;7;88;28;0;20;36.4;1;9;1.11;1;2;1.11;1;688;43;9;9;1;2.3;1;0;1;1;5;0.4;0;0;11;2;9;73;1066336412;0;0;0
86;BibtexEntryTypes;0;0;0;1;0;0;15;5;61;4;1;0;16;26;4;20;2;287;77;0;33;30.7;15;1;1;1;3;2.01;1;689;154;15;15;58;27.4;1;0;29;29;673;14.6;0;0;43;2;1;33;1439983830;0;0;0
87;BibtexImporter;0;0;0;0;2;0;0;14;47;8;0;0;3;31;28;5;7;136;55;20;29;30.1;1;9;4;9;6;2.33;2.38;383;80;20;20;19;19.2;0;0;4;3;25;1;1;0;32;1;7;21;1356745977;5;0;5
88;BibtexKeyAutoCompleter;0;0;0;0;0;0;0;1;9;4;0;0;3;8;6;3;3;56;15;13.3;4;42.9;1;4;2;3;3;1.47;1.5;423;25;7;7;4;13.8;0;0;1;1;5;0.7;0;0;8;0;4;3;1449407323;0;0;0
89;BibtexKeyPatternDialog;0;1;0;1;0;0;1;4;32;5;6;0;12;40;0;2;3;114;64;1.6;44;18.4;2;3;6.33;2;4;1.4;1.17;96;73;6;6;3;3.9;2;0;2;2;245;11.2;0;0;36;3;4;28;1364106558;0;0;0
90;BibTeXMLHandler;0;0;3;3;2;4;0;1;51;6;2;0;2;27;3;2;5;107;44;25;36;23.4;1;5;5.2;21;6;2.18;6;380;67;30;30;7;9.5;1;0;4;4;50;2.5;0;0;25;1;5;47;1364106558;0;0;0
91;BibTeXMLImporter;0;0;0;0;1;0;0;1;22;7;0;0;5;30;17;5;6;110;50;10;26;27.3;1;5;5.4;4;4;1.48;2;381;64;14;14;13;16.9;0;36;4;3;60;3.1;1;0;24;1;5;3;1460710591;0;0;0
