;Class;findbugsScary;findbugsBadPractice;findbugsStyle;findbugsAll;pmdPriority;pmdCodeSize;pmdDesign;pmdCoupling;pmdAll;WMC;DIT;NOC;CBO;RFC;LCOM;Ca;NPM;Lines;Statements;X..Branches;Calls;X..Comments;Classes;Methods.Class;Avg.Stmts.Method;Max.Complexity;Max.Depth;Avg.Depth;Avg.Complexity;ID;ncloc;complexity;class_complexity;comment_lines;comment_lines_density;public_undocumented_api;duplicated_lines;violations;code_smells;sqale_index;sqale_debt_ratio;bugs;vulnerabilities;statements;public_api;functions;Commits;CreationTime;Source;Target;Total
325;GroupsUtil;0;0;0;0;7;0;1;21;60;6;1;0;7;35;15;2;4;79;37;21.6;33;20.3;1;3;5.33;4;5;2.16;3.5;497;52;13;13;10;16.1;2;0;3;3;36;2.3;0;0;29;4;3;13;1449237190;0;0;0
326;GroupTreeCellRenderer;0;2;0;2;1;12;0;13;67;8;6;1;3;36;12;2;6;163;79;19;40;26.4;1;7;7.57;14;3;1.67;3.14;200;103;25;25;16;13.4;0;0;5;3;262;8.5;2;0;52;3;5;59;1104159179;0;0;0
327;GroupTreeNode;0;0;0;0;16;0;1;16;92;21;0;0;13;62;78;39;19;270;104;19.2;66;29.6;1;18;3;9;4;1.85;2.06;495;156;48;48;40;20.4;7;0;5;5;30;0.6;0;0;79;13;18;68;1364106558;0;6;6
328;GroupTreeNodeViewModel;0;0;0;1;19;2;1;102;234;46;1;0;23;131;477;37;41;419;205;13.7;215;9.1;1;37;4.03;2;4;1.21;1.15;201;318;95;95;19;5.6;24;0;10;10;25;0.3;0;0;139;28;41;18;1455911924;0;3;3
329;GuiAppender;0;0;0;1;0;0;2;0;14;4;0;0;7;12;4;1;2;46;25;8;12;0;1;3;2.67;3;3;0.92;1.67;589;35;6;6;0;0;2;0;2;2;10;1;0;0;8;2;3;5;1468368000;0;0;0
330;GUIGlobals;0;0;0;5;1;0;1;48;92;5;1;0;16;50;4;18;4;168;100;4;111;20.8;1;3;19.67;3;3;1.45;2.33;116;109;8;8;16;12.8;7;0;12;7;85;2.6;0;5;60;9;3;270;1066336412;0;0;0
331;GVKFetcher;0;0;0;0;22;0;3;18;72;9;1;0;9;42;24;1;6;183;112;16.1;49;6.6;1;9;8.67;9;5;1.99;3.25;367;139;28;28;5;3.5;1;0;2;2;10;0.2;0;0;71;2;8;17;1408043340;3;0;3
332;GVKParser;0;0;2;2;59;17;1;36;192;9;1;0;5;47;34;2;3;490;261;32.6;157;14.9;1;7;33.43;83;6;2.86;14.43;368;350;100;100;67;16.1;3;28;13;13;183;1.7;0;0;233;3;7;20;1408043340;0;0;0
333;HandleDuplicateWarnings;0;0;0;0;0;0;0;0;11;3;1;0;4;11;3;1;3;45;12;8.3;6;42.2;1;2;2;2;3;0.92;1.5;338;21;3;3;2;8.7;0;0;1;1;5;0.8;0;0;4;1;2;17;1364106558;0;0;0
334;HelpAction;0;0;0;0;0;0;0;3;35;9;0;0;10;27;30;21;7;87;43;0;27;21.8;1;8;2.13;1;2;1.02;1;214;53;7;7;2;3.6;5;0;2;2;10;0.6;0;0;17;6;7;49;1364106558;0;0;0
335;HelpFiles;0;0;0;0;0;0;0;0;5;5;2;0;0;8;6;38;3;85;8;0;39;37.6;1;2;1;1;2;1;1;215;49;1;1;8;14;0;0;1;1;5;0.3;0;0;2;1;1;4;1453853820;0;50;50
336;HighlightMatchingGroupPreferences;0;0;0;0;0;0;0;0;14;7;1;0;1;11;0;2;7;39;20;0;9;0;1;7;1;2;2;1.25;1.14;406;28;8;8;0;0;8;0;1;1;5;0.6;0;0;7;8;7;1;1457866903;0;0;0
337;HitOrMissComparator;0;1;0;1;0;0;0;0;13;3;1;0;2;7;1;1;3;45;13;7.7;4;42.2;1;2;2;2;3;0.92;1.5;292;18;4;4;2;10;1;0;1;1;5;0.9;0;0;4;2;2;20;1364106558;0;0;0
338;HTMLChars;0;0;1;1;32;15;3;40;126;4;1;0;3;26;4;3;2;242;135;40.7;63;27.3;1;2;62.5;42;8;4.44;26;560;165;44;44;45;21.4;0;105;13;13;219;4.4;0;0;103;1;2;44;1364106558;3;0;3
339;HTMLParagraphs;0;0;0;0;0;0;0;9;25;3;1;0;1;15;1;2;2;61;24;16.7;17;31.1;1;1;17;5;4;1.92;5;561;31;7;7;2;6.1;0;0;2;2;25;2.7;0;0;17;1;1;18;1364106558;0;0;0
340;HtmlToLatexFormatter;0;0;0;1;4;12;0;63;114;8;1;0;8;42;26;9;6;163;79;22.8;83;18.4;1;6;8.83;17;5;1.99;4.17;458;108;24;24;15;12.2;1;0;4;4;30;0.9;0;0;50;1;6;4;1459521143;5;2;7
341;HtmlToUnicodeFormatter;0;0;0;0;0;0;0;1;9;6;1;0;4;10;15;3;6;36;16;0;3;2.8;1;5;1;1;2;0.94;1;459;27;5;5;1;3.6;1;0;1;1;5;0.6;0;0;5;1;5;2;1468247552;0;0;0
342;HtmlTransferable;0;0;0;0;1;0;0;3;26;5;1;0;1;10;0;1;4;74;29;17.2;6;31.1;1;4;3.25;4;4;1.45;2.25;185;40;12;12;4;9.1;0;0;1;1;5;0.4;0;0;13;0;4;14;1364106558;0;0;0
343;HTMLUnicodeConversionMaps;0;0;0;6;0;5;4;0;42;3;1;0;0;15;3;5;1;794;36;25;28;91.1;1;1;1;1;7;2.81;1;660;546;11;11;722;56.9;1;0;13;7;76;0.5;0;6;25;1;1;9;1455366690;0;0;0
344;IconComparator;0;1;0;1;1;0;2;1;25;3;1;0;1;9;1;3;3;64;25;36;3;32.8;1;2;8.5;10;6;2.72;5.5;314;34;10;10;4;10.5;1;0;2;2;15;1.5;0;0;14;2;2;24;1364106558;0;0;0
345;IconTheme;0;0;0;2;1;0;1;18;102;5;1;0;2;36;4;13;3;327;87;1.1;160;41.3;3;0.67;5;0;4;1.59;0;119;235;19;6.3;111;32.1;13;0;10;8;42;0.6;0;2;50;15;14;56;1441728810;0;43;43
346;IdComparator;0;1;0;1;0;0;0;1;6;3;1;0;1;6;3;1;3;33;6;0;3;60.6;1;1;1;1;2;0.5;1;439;9;1;1;3;25;0;0;1;1;5;1.9;0;0;1;1;1;15;1364106558;0;0;0
347;IdentityFormatter;0;0;0;0;0;0;0;0;10;8;1;0;2;13;28;4;8;48;19;0;5;6.3;1;7;1.14;1;2;1.21;1;456;34;7;7;1;2.9;0;21;2;2;25;2.5;0;0;8;1;7;8;1453826638;0;0;0
348;IdGenerator;0;0;0;0;0;0;2;0;10;4;1;0;0;10;0;41;3;32;14;0;5;15.6;1;2;2;1;2;1.29;1;700;19;2;2;3;13.6;2;0;2;2;35;6.1;0;0;7;3;2;8;1447363007;0;0;0
349;IEEE;0;0;0;0;2;4;3;23;52;3;1;0;7;30;1;2;2;82;42;16.7;40;19.5;1;1;22;0;5;1.64;0;486;54;12;12;14;20.6;0;0;2;2;17;1;0;0;22;1;1;11;1459518708;0;0;0
350;IEEETranEntryTypes;0;0;0;1;0;0;5;0;24;2;1;0;6;9;1;4;1;112;28;0;9;30.4;6;0.83;1;1;3;1.82;1;699;59;5;5;21;26.3;0;0;13;13;241;13.6;0;0;13;1;0;15;1447766617;0;0;0
351;IEEEXploreFetcher;0;0;0;1;27;19;2;146;312;13;1;0;21;97;60;1;6;529;311;19.9;301;13.2;1;10;23.9;54;8;2.88;7.6;371;390;69;69;53;12;2;0;19;19;177;1.5;0;0;227;2;10;137;1144273285;20;0;20
352;IExportFormat;0;0;0;0;0;0;0;0;7;5;1;0;1;5;10;9;5;75;13;0;0;65.3;1;5;0;0;1;0.38;0;50;16;0;0;22;57.9;1;0;3;1;5;1;0;2;0;6;5;23;1364106558;0;0;0
353;IfPlural;0;0;0;0;2;0;0;0;20;3;0;0;1;7;1;2;3;64;18;22.2;3;48.4;1;2;5.5;6;3;1.67;4;562;26;11;11;9;25.7;0;0;3;3;5;0.6;0;0;10;1;2;13;1364106558;0;0;0
354;ImportCustomizationDialog;0;0;0;2;8;10;3;15;108;9;6;0;21;100;2;4;3;331;197;8.6;165;13.9;4;3.75;10.07;5;8;4.06;2.27;339;249;30;15;14;5.3;1;0;8;7;318;4.3;1;0;132;4;9;71;1135034592;0;0;0
355;ImportDialog;0;0;1;1;0;0;1;3;64;12;6;0;9;79;50;2;6;218;137;0;144;8.3;2;0.5;96;0;3;1.7;0;705;174;23;23;3;1.7;6;0;2;2;245;4.7;0;0;105;6;7;35;1304853770;0;11;11
356;ImportFileFilter;0;0;0;0;1;0;0;3;30;8;2;0;1;27;2;3;8;87;33;15.2;13;21.8;1;7;2.57;4;4;1.55;1.71;340;51;13;13;2;3.8;0;0;1;1;5;0.3;0;0;20;0;5;16;1364106558;0;0;0
357;ImportFormat;0;0;0;0;0;0;0;10;53;17;1;17;2;37;136;33;15;186;56;5.4;37;47.8;1;11;2.91;2;3;1.18;1.14;388;78;18;18;41;34.5;4;0;2;2;5;0.2;0;0;27;10;15;35;1102805377;0;0;0
358;ImportFormatReader;0;0;0;0;11;0;0;22;80;9;1;0;30;70;14;9;7;243;100;0;107;25.1;1;1;62;0;2;1.28;0;341;147;26;13;30;16.9;8;0;4;4;36;0.8;0;0;74;11;8;162;1080590592;11;0;11
359;ImportFormats;0;0;0;0;13;2;1;26;80;6;1;0;9;24;13;2;2;146;76;15.8;43;17.1;2;2;12.75;10;6;2.51;6.75;342;98;19;9.5;8;7.5;1;0;3;3;49;1.7;0;0;45;2;4;37;1364106558;0;0;0
360;ImportInspectionCommandLine;0;0;0;1;0;0;0;1;30;4;1;0;6;14;0;2;4;70;26;3.8;11;21.4;2;3;1.5;2;3;1.26;1.17;343;41;8;8;0;0;2;0;5;5;40;3.3;0;0;9;2;3;24;1364106558;0;0;0
361;ImportInspectionDialog;0;7;1;8;42;39;3;224;647;50;6;0;65;230;1053;18;11;1478;606;0;906;15.7;2;1;233.5;1;4;2.39;1;120;1083;209;14.9;176;14;4;78;25;23;1451;4.5;2;0;588;7;60;227;1111362872;0;2;2
362;ImportInspector;0;0;0;0;0;0;0;0;2;2;1;0;1;2;1;21;2;51;5;0;0;80.4;1;2;0;0;1;0.4;0;344;6;0;0;14;70;0;0;1;1;5;2.8;0;0;0;3;2;13;1364106558;0;0;0
363;ImportMenuItem;0;0;0;0;21;10;0;40;136;11;6;0;18;47;43;3;4;286;149;20.8;98;16.1;2;4.5;11.11;10;7;2.74;3.38;345;200;44;22;26;11.5;3;0;11;10;309;5.1;1;0;98;4;8;111;1102805499;0;0;0
364;ImportSettingsTab;0;1;1;3;4;0;0;0;49;9;5;0;6;53;20;2;5;182;123;13;87;8.8;1;6;14.5;6;4;1.83;2.67;277;143;15;15;1;0.7;2;0;3;1;5;0.1;0;2;84;2;6;28;1364106558;0;3;3
365;IncompleteRenderer;0;0;0;0;0;0;0;0;6;3;0;0;4;9;3;1;2;22;11;0;6;4.5;1;3;1;1;2;0.82;1;290;16;3;3;1;5.9;3;0;1;1;5;1;0;0;3;3;3;1;1441880421;0;0;0
366;InfoPane;0;0;1;1;0;0;0;1;10;2;6;0;0;7;1;6;2;38;13;0;4;39.5;1;2;2.5;1;2;0.92;1;27;18;2;2;0;0;0;0;2;2;245;45.4;0;0;5;0;2;8;1364106558;0;12;12
367;InspecImporter;0;0;0;0;16;10;0;40;104;7;0;0;4;34;19;3;6;146;85;25.9;63;14.4;1;5;13.2;22;8;3.38;5.6;389;112;27;27;4;3.4;0;32;5;5;85;2.5;0;0;68;1;5;47;1364106558;0;0;0
368;INSPIREBibtexFilterReader;0;0;0;0;0;0;0;3;23;5;3;0;0;15;4;1;1;103;49;22.4;14;28.2;1;4;8.25;6;4;2.04;3.75;372;64;21;21;6;8.6;0;0;2;2;5;0.3;0;0;31;0;4;16;1364106558;0;0;0
369;INSPIREFetcher;0;0;0;0;3;0;0;5;55;9;1;0;12;41;30;1;6;186;65;7.7;34;43;2;3.5;4.86;4;4;1.52;1.71;373;87;13;13;39;31;0;0;2;2;15;0.6;0;0;30;1;7;46;1364106558;3;0;3
370;IntegrityCheck;0;0;1;2;14;0;6;62;227;3;1;0;17;41;0;2;2;447;141;1.4;273;12.5;1;4;28.5;2;3;2.4;1.5;504;323;87;5.8;40;11;5;58;4;4;57;0.6;0;0;145;5;20;59;1364106558;3;0;3
371;IntegrityCheckAction;0;0;0;0;7;0;0;28;56;3;0;0;11;48;0;1;2;85;56;7.1;51;3.5;1;3;12;5;5;2.09;3;147;65;5;5;3;4.4;2;0;1;1;5;0.3;0;0;36;2;2;9;1440751140;0;0;0
372;IntegrityMessage;0;1;0;1;0;0;0;1;17;6;1;0;1;11;1;15;6;38;20;0;5;0;1;6;1.33;1;2;1.25;1;505;29;3;3;0;0;2;0;3;3;55;6.3;0;0;8;2;3;26;1364106558;0;0;0
373;InternalBibtexFields;0;0;0;6;3;12;2;33;135;17;1;0;4;69;72;27;13;471;220;0;316;20.6;1;1;187;0;2;1.78;0;701;315;55;55;63;16.7;8;0;12;6;36;0.4;0;6;226;14;16;14;1463996975;18;2;20
374;ISBNtoBibTeXFetcher;0;0;0;1;2;10;6;9;57;7;1;0;13;35;17;1;6;147;78;11.5;31;19;2;3;7.5;10;6;1.89;3.17;374;97;21;21;12;11;0;20;5;5;62;2.1;0;0;40;1;5;38;1350033370;11;0;11
375;IsiImporter;0;0;0;4;33;17;6;93;256;15;0;0;6;75;101;3;11;435;226;32.7;177;16.8;1;13;15;63;6;3.38;7.69;390;295;96;96;51;14.7;3;25;27;26;305;3.4;1;0;198;5;13;82;1364106558;0;0;0
376;IsMarkedComparator;0;1;0;2;0;0;0;0;12;4;1;0;2;6;6;1;3;32;8;0;3;46.9;1;1;1;1;2;0.5;1;315;11;1;1;0;0;2;0;4;3;17;5.2;0;1;1;2;1;19;1364106558;0;0;0
377;Iso690FormatDate;0;0;0;0;0;0;0;13;25;2;1;0;1;10;1;1;2;55;15;26.7;20;60;1;1;11;6;3;1.8;6;563;20;7;7;8;28.6;0;0;1;1;5;0.8;0;0;11;1;1;15;1253700000;0;0;0
378;Iso690NamesAuthors;0;0;0;1;0;10;0;52;78;2;1;0;1;13;1;1;2;112;45;22.2;41;46.4;1;1;41;12;5;3.67;12;564;53;12;12;27;33.8;0;0;2;2;17;1.1;0;0;40;1;1;16;1253700000;0;0;0
379;ISSNChecker;0;0;0;0;10;6;0;4;35;3;1;0;4;15;1;1;2;51;25;8;20;3.9;1;1;14;0;3;1.6;0;503;40;14;14;2;4.8;1;0;2;2;19;1.6;0;0;17;1;1;1;1461960964;0;0;0
380;JabRefCLI;0;0;0;1;1;0;3;104;161;34;1;0;15;66;0;2;31;275;113;0.9;153;5.8;1;33;1.94;2;3;1.5;1.03;16;201;34;34;1;0.5;31;0;11;10;79;1.3;0;1;63;31;32;30;1460994169;0;0;0
381;JabRefDesktop;0;0;1;2;10;10;3;39;138;11;1;0;28;93;29;19;9;326;176;22.2;125;22.4;1;9;14.11;21;5;2.26;6;168;225;62;62;44;16.4;3;0;9;8;75;1.1;0;1;118;9;9;55;1444749932;0;5;5
382;JabRefException;0;0;0;0;0;0;0;0;19;6;3;0;2;11;7;4;5;40;22;9.1;7;0;1;5;2.2;3;3;1.45;1.4;407;30;8;8;0;0;5;0;2;2;20;2.2;0;0;10;5;5;2;1447276121;0;4;4
383;JabRefExecutorService;0;0;0;0;2;0;1;4;69;11;1;0;4;40;9;26;7;156;83;9.6;32;16;2;6;4.08;5;4;1.83;1.67;408;105;24;12;8;7.1;7;0;7;5;15;0.5;2;0;47;8;11;16;1434973920;0;6;6
384;JabRefFrame;0;4;2;9;29;33;6;182;943;86;6;0;112;412;2993;196;47;2250;1004;0;1528;10.8;4;0.75;22.67;1;4;1.69;1;121;1688;238;11.3;169;9.1;22;0;48;29;457;0.9;16;3;837;40;104;720;1066683406;0;30;30
385;JabRefGUI;0;0;1;1;16;16;1;45;140;8;1;0;24;94;6;21;4;311;165;22.4;132;17.4;1;7;16.57;24;6;2.38;7.14;409;213;42;42;39;15.5;3;0;11;9;98;1.5;2;0;114;3;5;5;1460994169;0;13;13
386;JabRefLogger;0;0;0;0;0;0;1;4;12;4;1;0;8;12;4;1;2;28;19;0;8;0;1;2;3.5;1;2;0.89;1;590;22;2;2;0;0;2;0;2;2;35;5.3;0;0;7;2;2;1;1453741451;0;0;0
387;JabRefMain;0;0;0;0;1;0;5;13;33;6;1;0;23;44;13;2;2;110;51;7.8;39;28.2;1;3;10;6;5;1.57;3.5;410;61;10;10;14;18.7;1;0;3;3;40;2.2;0;0;30;2;2;29;1364106558;0;3;3
388;JabRefMessageHandler;0;0;0;0;0;0;0;3;12;2;1;0;6;15;1;2;2;41;15;13.3;9;36.6;1;1;7;3;3;1.2;3;287;21;4;4;0;0;1;0;1;1;5;0.8;0;0;7;1;1;14;1438214712;0;0;0
389;JabRefPreferences;0;0;1;2;30;8;3;31;674;51;1;0;32;182;937;263;41;1387;813;0;590;14.4;3;0.33;20;0;4;1.53;0;411;1052;112;112;125;10.6;29;0;20;18;133;0.4;1;1;501;49;49;539;1066683406;161;452;613
390;JabRefPreferencesFilter;0;1;0;1;1;0;0;7;41;4;1;0;4;21;4;2;3;101;36;0;46;0;1;2;12.5;1;2;1.47;1;412;79;17;5.7;0;0;9;0;2;1;5;0.2;1;0;25;9;9;6;1456348000;0;0;0
391;JabRefPreferencesFilterDialog;0;2;0;2;1;0;0;6;52;3;6;0;5;33;1;1;1;123;61;0;64;0.8;1;1;40;0;2;1.39;0;413;98;29;14.5;1;1;2;0;3;3;258;8.8;0;0;50;2;7;4;1456419138;0;0;0
392;JournalAbbreviationLoader;0;0;0;0;2;0;0;5;49;10;1;0;6;38;31;44;9;123;52;7.7;52;19.5;1;1;34;0;5;2.87;0;508;79;16;16;9;10.2;9;0;1;1;5;0.2;0;0;35;9;8;4;1451946468;12;0;12
393;JournalAbbreviationRepository;0;0;0;0;5;0;0;23;81;12;1;0;4;41;34;13;11;137;68;11.8;64;17.5;1;10;4;5;3;1.54;2.1;509;87;27;27;4;4.4;9;0;1;1;5;0.2;0;0;39;11;10;20;1438214712;0;0;0
394;JournalAbbreviationsUtil;0;0;0;0;12;0;1;2;23;2;1;0;3;11;1;2;2;46;16;6.3;7;32.6;1;1;6;2;3;1.06;2;218;24;3;3;0;0;2;0;2;2;35;4.9;0;0;9;2;1;13;1438214712;0;0;0
395;JournalAbbreviator;0;0;0;0;0;0;0;2;13;2;1;0;3;7;0;1;2;63;10;0;4;66.7;1;2;1;1;2;0.7;1;565;14;2;2;9;39.1;1;0;1;1;5;1.2;0;0;2;2;2;15;1364106558;0;0;0
396;JournalAutoCompleter;0;0;0;0;1;0;0;3;17;4;0;0;6;17;4;1;3;48;16;12.5;9;35.4;1;2;3.5;3;4;1.25;2;427;22;4;4;1;4.3;1;0;1;1;5;0.8;0;0;8;1;2;1;1467120261;0;0;0
397;JSONEntryParser;0;0;0;0;3;21;0;73;139;5;1;0;9;42;4;3;3;244;124;37.9;130;20.5;1;3;36.67;30;6;2.85;18;391;165;42;42;29;14.9;1;30;13;13;163;3.3;0;0;103;3;2;20;1447017858;0;0;0
398;JTextAreaWithHighlighting;0;1;0;1;8;10;0;20;68;11;6;1;12;49;29;4;3;182;93;14;53;19.8;3;3.33;5.9;10;6;1.88;3.1;186;120;26;26;18;13;2;46;7;6;297;8.3;1;0;53;2;7;42;1314176328;0;0;0
399;JTextFieldChangeListenerUtil;0;0;0;0;0;0;1;6;32;3;1;0;2;14;3;1;2;83;43;9.3;13;22.9;2;3;4.83;5;6;2.18;2.33;293;55;8;8;13;19.1;0;0;3;3;55;3.3;0;0;22;2;1;4;1448371612;0;0;0
400;JTextFieldWithUnfocusedText;0;0;0;0;2;0;0;5;34;4;6;0;0;26;4;1;3;62;39;2.6;24;6.5;1;4;5.75;3;3;1.67;1.5;318;48;6;6;2;4;1;0;2;2;245;17;0;0;23;2;4;5;1456403810;0;0;0
401;KeyBinder;0;0;0;0;0;0;1;4;13;2;1;0;3;9;1;4;2;26;13;0;6;23.1;1;1;4;1;2;0.69;1;225;15;1;1;3;16.7;1;0;2;2;35;7.8;0;0;4;2;1;1;1460996721;0;0;0
402;KeyBinding;0;0;0;0;0;0;0;0;10;7;2;0;1;11;13;62;5;114;17;0;158;0;1;4;1.5;1;2;1.18;1;226;105;1;1;0;0;1;0;2;2;13;0.4;0;0;6;1;1;10;1450185460;0;0;0
403;KeyBindingPreferences;0;0;0;0;6;0;0;5;40;7;1;0;7;37;0;62;4;124;64;18.8;41;14.5;1;6;6.33;8;5;1.83;3.33;227;81;24;24;10;11;2;0;2;2;5;0.2;0;0;35;5;6;9;1450185460;0;0;0
404;KeyBindingRepository;0;0;0;0;0;0;0;18;57;22;1;0;5;51;99;4;11;95;43;9.3;47;18.9;1;13;1.77;4;3;1.49;1.31;228;59;19;19;1;1.7;12;0;1;1;5;0.3;0;0;34;12;13;2;1450185460;0;0;0
405;KeyBindingsDialog;0;1;0;1;1;0;0;8;45;7;6;0;10;58;7;2;1;155;85;3.5;74;16.8;2;4;6.88;4;5;1.87;1.86;231;109;8;8;9;7.6;1;0;6;6;280;8.6;0;0;54;2;4;49;1067379868;0;0;0
406;KeyBindingsListener;0;0;0;1;2;4;1;2;31;2;2;0;1;18;0;1;2;66;31;19.4;20;16.7;1;2;12;15;4;2;8;232;46;19;19;9;16.4;1;0;3;3;31;2.2;0;0;23;2;2;3;1450185460;0;0;0
407;KeyBindingTable;0;0;0;0;0;0;0;1;8;3;5;0;1;6;3;2;3;17;8;0;2;0;1;2;1;1;2;0.75;1;229;12;2;2;0;0;2;0;1;1;5;1.4;0;0;2;2;2;3;1450185460;0;0;0
408;KeyBindingTableModel;0;1;0;1;0;0;0;8;37;9;2;0;3;22;24;2;8;65;33;9.1;18;0;1;9;1.67;3;3;1.3;1.33;230;51;14;14;0;0;3;0;1;1;5;0.3;0;0;14;3;9;2;1450185460;0;0;0
409;KeyCollisionException;0;0;0;0;0;0;0;0;10;4;4;0;0;8;6;12;4;45;10;0;4;55.6;1;4;1;1;2;1.2;1;681;15;4;4;0;0;5;0;1;1;5;1.1;0;0;4;5;4;10;1364106558;0;0;0
410;KeywordGroup;0;0;0;1;23;14;4;36;194;28;0;1;15;104;170;12;21;410;188;15.4;175;12.2;1;18;5.22;11;5;2.23;2.06;498;317;94;94;21;6.2;1;12;10;10;122;1.3;0;0;150;5;21;93;1104159179;11;0;11
411;LabelPatternPanel;0;0;0;2;6;2;1;19;88;11;5;1;16;70;11;2;3;278;190;6.3;118;13.3;1;10;14.7;5;4;1.73;2.3;233;209;17;17;16;7.1;3;0;1;1;5;0.1;0;0;149;4;8;55;1364106558;0;0;0
412;LabelPatternPrefTab;0;1;0;1;1;0;0;53;95;7;0;0;12;48;1;1;5;189;114;5.3;110;14.8;1;6;13.33;4;3;1.61;2;278;130;10;10;8;5.8;0;0;1;1;5;0.1;0;0;79;0;6;16;1438251341;0;0;0
413;LabelPatternUtil;0;0;8;11;119;53;9;239;761;38;1;0;13;130;683;18;27;1443;652;31.6;537;33.3;1;36;16.89;63;7;2.68;15.73;519;854;352;352;336;28.2;2;0;31;31;523;2;0;0;576;25;34;149;1071408525;20;3;23
414;Languages;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;51;37;16.2;29;2;1;1;11;7;5;2.08;7;512;44;8;8;1;2.2;2;0;4;3;45;3.4;0;1;26;2;1;0;1468368000;0;0;0
415;LastFocusedTabPreferences;0;0;0;0;0;0;0;1;15;3;1;0;1;9;0;3;3;49;18;11.1;6;32.7;1;3;3;2;3;1.33;1.67;616;24;7;7;1;4;4;0;1;1;5;0.7;0;0;9;4;3;2;1449325453;7;0;7
416;LastPage;0;0;0;0;0;0;0;0;11;2;1;0;1;4;1;2;2;43;13;30.8;1;48.8;1;1;9;5;3;1.77;5;566;18;8;8;3;14.3;0;0;1;1;5;0.9;0;0;8;1;1;16;1364106558;0;0;0
417;LatexCleanupFormatter;0;0;0;0;1;0;0;10;21;6;1;0;2;10;15;5;6;48;24;0;12;18.8;1;5;3;1;2;1.46;1;460;36;5;5;9;20;1;0;1;1;5;0.5;0;0;15;1;5;2;1459521143;0;2;2
418;LatexFieldFormatter;0;0;0;0;24;17;1;22;126;11;1;0;5;51;27;13;3;305;149;26.2;79;20.3;1;11;11;27;6;2.62;6;433;200;69;69;42;17.4;2;0;9;9;85;1.4;0;0;116;4;11;91;1066683406;17;0;17
419;LatexToUnicodeFormatter;0;0;1;1;29;12;2;42;123;7;1;0;6;28;19;8;6;219;109;30.3;57;25.1;1;5;18.8;42;8;4.38;9.2;567;144;37;37;34;19.1;0;73;13;13;168;3.9;0;0;84;1;5;4;1468368000;4;0;4
420;Layout;0;0;0;0;5;8;0;6;56;7;1;0;9;35;5;12;6;162;78;32.1;29;22.2;1;6;9.33;13;7;2.83;3.83;521;98;25;25;15;13.3;4;0;4;4;35;1.2;0;0;51;7;6;59;1364106558;0;0;0
421;LayoutEntry;0;0;0;0;44;30;1;36;298;14;1;0;77;133;27;2;7;707;477;53.2;189;9.1;1;13;28.69;64;9+;3;13.46;522;554;251;251;40;6.7;2;0;21;19;370;2.2;1;1;272;3;11;93;1364106558;3;0;3
422;LayoutFormatter;0;0;0;0;0;0;0;0;4;1;1;0;0;1;0;88;1;46;3;0;0;84.8;1;1;0;0;1;0.33;0;523;5;0;0;15;75;0;0;1;1;5;3.3;0;0;0;2;1;12;1364106558;0;0;0
423;LayoutHelper;0;0;1;2;59;21;2;5;164;12;1;0;3;41;20;8;4;389;197;28.9;86;17.5;1;12;13.42;26;7;3.36;7.42;524;255;99;99;44;14.7;3;0;16;16;169;2.2;0;0;155;4;11;65;1364106558;0;0;0
424;Linux;0;1;1;4;1;0;1;27;51;6;1;0;3;36;15;1;6;88;56;21.4;41;1.1;1;5;8.2;6;4;1.91;3.8;170;72;15;15;1;1.4;1;0;1;1;5;0.2;0;0;37;1;5;12;1457989677;0;0;0
425;ListAutoCompleteRenderer;0;0;0;0;3;0;0;2;25;7;0;0;2;38;0;1;6;88;49;10.2;25;13.6;1;6;4.83;4;4;1.53;2.5;161;63;10;10;7;10;0;0;1;1;5;0.3;0;0;27;1;5;12;1442051540;0;0;0
426;ListSynchronizer;0;0;0;0;0;0;0;4;17;6;1;0;7;18;0;2;4;77;35;2.9;20;23.4;1;6;3.33;2;4;1.6;1.17;236;49;7;7;3;5.8;5;0;1;1;5;0.3;0;0;17;5;6;3;1459878513;0;0;0
427;Localization;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;103;52;9.6;40;9.7;1;2;17.5;6;3;1.65;6;513;75;15;15;7;8.5;4;0;3;3;45;2;0;0;36;4;5;0;1468368000;0;53;53
428;LocalizationKey;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;28;12;0;13;7.1;1;4;1;1;2;1.08;1;514;19;4;4;2;9.5;5;0;1;1;5;0.9;0;0;4;5;4;0;1468368000;0;0;0
429;LocalizationKeyParams;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;31;18;11.1;9;0;1;2;4.5;2;3;1.39;2;515;23;5;5;0;0;3;0;1;1;5;0.7;0;0;9;3;2;0;1468368000;0;0;0
430;LowerCaseFormatter;0;0;0;0;0;0;0;3;15;8;1;0;4;18;28;8;8;50;20;0;9;6;1;7;1.29;1;2;1.25;1;471;35;7;7;1;2.8;1;0;1;1;5;0.5;0;0;9;1;7;2;1459521143;0;0;0
431;MacAdapter;0;0;1;1;1;0;0;5;27;0;0;0;0;0;0;0;0;99;50;14;20;16.2;1;6;4.17;4;3;1.28;2.17;704;68;16;16;13;16;2;0;0;0;0;0;0;0;25;2;6;6;1438280765;0;0;0
